csn(%),swe(m),depsn(m),snevap(m),rhosn(kgm-3),eva_baresoil(m),eva_topcano(m),eva_vegetran(m),forecast_albedo(0-1),potential_eva(m),stl1(K),stl2(K),stl3(K),stl4(K),swvl1(m3/m3),swvl2(m3/m3),swvl3(m3/m3),swvl4(m3/m3)
79.7148,0.0421,0.2754,-0.0002,0,-0,-0,-0,0.2983,-0.0043,272.259,272.7071,273.9868,276.3323,0.3412,0.3379,0.3196,0.3719
99.9512,0.153,0.7793,-0.0001,0,-0,-0,-0,0.3466,-0.002,272.4651,272.6889,273.5615,275.075,0.3206,0.3223,0.3178,0.3677
99.9512,0.2307,1.0176,-0.0001,0,-0,-0,-0,0.3453,-0.003,272.3769,272.6074,273.3504,274.2927,0.3133,0.3145,0.3134,0.3639
99.9512,0.2956,1.0957,-0.0002,0,-0,0,-0,0.3457,-0.0053,272.275,272.5142,273.1756,273.9773,0.3086,0.3099,0.3097,0.3604
99.9512,0.3214,1.0459,-0.0004,0,-0,0,-0,0.3336,-0.0109,272.0592,272.2662,273.001,273.8506,0.3045,0.3061,0.3067,0.3571
99.9512,0.3485,1.0439,-0.0007,0,-0,0,-0,0.3348,-0.0141,272.1117,272.2691,272.8628,273.7461,0.302,0.3028,0.3041,0.354
99.9512,0.3572,0.8555,-0.0007,0,-0,-0,-0,0.3171,-0.0139,272.4892,272.4988,272.8013,273.6606,0.3853,0.3703,0.3231,0.3514
49.7689,0.0823,0.1826,-0.0001,0,-0.0011,-0.0001,-0,0.2246,-0.0272,278.2228,276.7145,273.457,273.5913,0.3853,0.3972,0.4067,0.412
0,0,0,0,0,-0.0014,-0.0006,-0,0.1323,-0.0254,283.7558,282.961,280.2248,274.2696,0.3192,0.3127,0.3041,0.4084
0,0,0,0,0,-0.0011,-0.0003,-0,0.1281,-0.0286,284.723,284.0331,281.749,277.1248,0.2706,0.2727,0.2754,0.3888
1.8104,0.0003,0.002,-0,0,-0.0007,-0.0003,-0,0.1275,-0.0232,280.9396,280.94,280.7934,279.2002,0.2675,0.2642,0.2636,0.3754
5.1247,0.0008,0.0049,-0,0,-0.0004,-0.0003,-0,0.1299,-0.0117,276.6676,277.2314,278.5747,279.4378,0.3188,0.3112,0.2694,0.3658
98.9537,0.0441,0.2881,-0.0003,0,-0,-0,-0,0.3399,-0.004,272.8019,273.276,274.7429,277.9346,0.3241,0.3172,0.2815,0.3594
99.9512,0.1158,0.706,-0.0001,0,-0,-0,-0,0.3458,-0.002,272.7728,273.0538,274.0167,276.2254,0.3023,0.3021,0.2884,0.3547
99.9512,0.1751,0.8652,-0.0001,0,-0,-0,-0,0.3428,-0.0026,272.6525,272.9211,273.7419,275.1074,0.2951,0.2953,0.2903,0.3509
99.9512,0.2395,1.002,-0.0002,0,-0,0,-0,0.3455,-0.0054,272.532,272.7729,273.5042,274.4139,0.2917,0.2922,0.2908,0.3476
99.9512,0.3126,1.1767,-0.0004,0,-0,0,-0,0.3474,-0.0084,272.4358,272.6523,273.3091,274.04,0.2893,0.2901,0.2908,0.3447
99.9512,0.3774,1.1348,-0.0007,0,-0,0,-0,0.332,-0.013,272.5156,272.6311,273.1601,273.898,0.308,0.2974,0.291,0.342
99.9512,0.3568,0.8691,-0.0007,0,-0,0,-0,0.3178,-0.0161,272.6963,272.7521,273.0871,273.803,0.3913,0.3868,0.344,0.3419
50.7527,0.0852,0.1885,-0.0001,0,-0.0011,-0.0001,-0,0.2261,-0.028,277.7304,276.5131,273.8939,273.7339,0.3857,0.396,0.4051,0.4101
0.0351,0,0,-0,0,-0.0014,-0.0002,-0,0.1323,-0.035,285.2482,284.1087,280.7261,274.8815,0.2484,0.2742,0.2991,0.4075
0,0,0,0,0,-0.0008,-0.0001,-0,0.1281,-0.0339,285.4667,284.8782,283.0762,278.3691,0.1736,0.2103,0.2635,0.3868
6.3555,0.001,0.0059,-0,0,-0.0005,-0.0006,-0,0.1366,-0.0182,279.7266,280.0166,280.5856,280.0374,0.3031,0.2677,0.2546,0.373
68.5808,0.0145,0.0928,-0.0003,0,-0.0003,-0.0003,-0,0.265,-0.008,274.4469,275.0043,276.6663,279.2542,0.3914,0.382,0.3083,0.3649
56.3654,0.0128,0.0859,-0.0002,0,-0.0001,-0,-0,0.2435,-0.0065,272.2272,272.9456,274.4897,277.3523,0.3675,0.3716,0.3769,0.3663
99.9512,0.13,0.7891,-0.0001,0,-0,0,-0,0.3486,-0.0015,271.9876,272.2591,273.5095,275.6252,0.3404,0.3443,0.3647,0.3682
99.9512,0.2659,1.294,-0.0001,0,-0,-0,-0,0.3465,-0.0026,272.1529,272.402,273.2507,274.4937,0.3311,0.3349,0.3512,0.3674
99.9512,0.4133,1.5928,-0.0002,0,-0,0,-0,0.3473,-0.0043,272.1604,272.3665,273.0662,273.999,0.325,0.3286,0.3402,0.3658
99.9512,0.5333,1.706,-0.0005,0,-0,0,-0,0.3378,-0.0088,272.1253,272.2834,272.9194,273.8464,0.3202,0.3232,0.3313,0.3637
99.9512,0.6217,1.793,-0.0006,0,-0,0,-0,0.3433,-0.0113,272.1621,272.3234,272.8287,273.7364,0.3157,0.3184,0.3242,0.3612
99.9512,0.641,1.6211,-0.0008,0,-0,0,-0,0.3231,-0.0181,272.3463,272.402,272.7678,273.6457,0.3838,0.3819,0.3563,0.3601
99.8947,0.3495,0.7793,-0.0003,0,-0,-0,-0,0.3085,-0.0205,272.6647,272.6419,272.7764,273.5678,0.4204,0.4261,0.4271,0.4151
11.3079,0.0078,0.0176,-0,0,-0.0017,-0.0003,-0,0.1506,-0.0308,284.1513,282.1164,276.9276,273.5986,0.3397,0.3492,0.3532,0.4242
0,0,0,0,0,-0.001,-0.0003,-0,0.1281,-0.0289,284.9047,284.1338,281.5688,275.489,0.2531,0.2607,0.2793,0.3982
37.8159,0.0105,0.0654,-0.0002,0,-0.0005,-0.0003,-0,0.204,-0.0169,280.1807,280.3949,280.6493,278.3235,0.2965,0.2857,0.2657,0.3815
94.709,0.0255,0.1572,-0.0005,0,-0.0003,-0,-0,0.3183,-0.0092,273.5111,274.0352,275.4334,277.8569,0.3806,0.3725,0.3146,0.3726
97.9974,0.0953,0.5293,-0.0002,0,-0,-0,-0,0.3399,-0.0035,272.8675,273.1192,274.0528,276.247,0.3506,0.3522,0.3409,0.3692
99.9512,0.1821,0.8555,-0.0001,0,-0,-0,-0,0.3449,-0.0021,272.7075,272.9997,273.784,275.1187,0.3329,0.3365,0.3374,0.3669
